# i |		 MEtot	|	 dMEtot 	|	 KEtot	|	 dKEtot 	|	 Pdvtot 	|	 dTEtot 	|	 Etot
480	,	2.72186e-04	,	1.98724e-06	,	3.01704e-04	,	2.89894e-05	,	1.04086e-04	,	1.03002e-06	,	6.77975e-04
481	,	2.76332e-04	,	1.89022e-06	,	3.03909e-04	,	3.02685e-05	,	1.05115e-04	,	1.07004e-06	,	6.85356e-04
482	,	2.78997e-04	,	1.12325e-06	,	3.09218e-04	,	3.47576e-05	,	1.06228e-04	,	1.21675e-06	,	6.94442e-04
483	,	2.78891e-04	,	6.19925e-07	,	3.18084e-04	,	3.76789e-05	,	1.07461e-04	,	1.29458e-06	,	7.04436e-04
484	,	2.78844e-04	,	3.27312e-07	,	3.27032e-04	,	3.89810e-05	,	1.08751e-04	,	1.32834e-06	,	7.14627e-04
485	,	2.81136e-04	,	-5.33079e-07	,	3.30205e-04	,	3.78588e-05	,	1.10046e-04	,	1.27295e-06	,	7.21388e-04
486	,	2.83116e-04	,	-1.23701e-06	,	3.22449e-04	,	3.83983e-05	,	1.11270e-04	,	1.26995e-06	,	7.16835e-04
487	,	2.86396e-04	,	-1.19932e-06	,	3.20000e-04	,	4.01608e-05	,	1.12553e-04	,	1.32510e-06	,	7.18949e-04
488	,	2.92978e-04	,	-1.80244e-06	,	3.21633e-04	,	3.92291e-05	,	1.13825e-04	,	1.27732e-06	,	7.28436e-04
489	,	2.99906e-04	,	-2.85650e-06	,	3.24417e-04	,	3.71551e-05	,	1.15047e-04	,	1.18474e-06	,	7.39370e-04
490	,	3.04239e-04	,	-4.21612e-06	,	3.25060e-04	,	3.87995e-05	,	1.16185e-04	,	1.20979e-06	,	7.45484e-04
491	,	3.04797e-04	,	-5.46473e-06	,	3.23311e-04	,	4.28058e-05	,	1.17397e-04	,	1.16705e-06	,	7.45505e-04
492	,	3.04292e-04	,	-4.97441e-06	,	3.14089e-04	,	3.88129e-05	,	1.18287e-04	,	7.36893e-07	,	7.36668e-04
493	,	3.04268e-04	,	-3.86579e-06	,	3.00885e-04	,	3.86185e-05	,	1.18950e-04	,	7.66946e-07	,	7.24102e-04
494	,	3.04570e-04	,	-2.77281e-06	,	2.93337e-04	,	3.95667e-05	,	1.19798e-04	,	9.38928e-07	,	7.17706e-04
495	,	3.05472e-04	,	-1.57253e-06	,	2.91761e-04	,	3.93296e-05	,	1.20740e-04	,	9.82313e-07	,	7.17973e-04
496	,	3.05596e-04	,	-2.38784e-07	,	2.96237e-04	,	3.92297e-05	,	1.21594e-04	,	8.75173e-07	,	7.23427e-04
497	,	3.04281e-04	,	-2.83877e-07	,	3.03241e-04	,	3.93571e-05	,	1.22409e-04	,	8.90334e-07	,	7.29930e-04
498	,	3.00655e-04	,	-9.97303e-07	,	3.10461e-04	,	4.14504e-05	,	1.23133e-04	,	9.80130e-07	,	7.34249e-04
499	,	2.97168e-04	,	-4.46833e-07	,	3.16934e-04	,	3.92559e-05	,	1.23839e-04	,	9.97193e-07	,	7.37941e-04
500	,	2.94454e-04	,	7.12174e-08	,	3.22532e-04	,	3.98580e-05	,	1.24697e-04	,	1.10771e-06	,	7.41683e-04
501	,	2.93438e-04	,	4.92947e-07	,	3.27016e-04	,	4.35594e-05	,	1.25814e-04	,	1.30985e-06	,	7.46268e-04
502	,	2.93125e-04	,	8.28440e-07	,	3.34278e-04	,	4.69586e-05	,	1.27240e-04	,	1.60085e-06	,	7.54643e-04
503	,	2.94419e-04	,	1.73926e-06	,	3.44402e-04	,	4.63226e-05	,	1.29043e-04	,	1.94606e-06	,	7.67864e-04
504	,	2.97889e-04	,	2.94565e-06	,	3.52521e-04	,	4.22238e-05	,	1.30984e-04	,	2.17014e-06	,	7.81393e-04
505	,	3.03548e-04	,	5.44363e-06	,	3.61952e-04	,	4.67943e-05	,	1.32839e-04	,	2.36820e-06	,	7.98339e-04
506	,	3.10157e-04	,	7.11374e-06	,	3.78855e-04	,	4.93672e-05	,	1.34683e-04	,	2.17078e-06	,	8.23694e-04
507	,	3.17322e-04	,	6.59165e-06	,	3.99718e-04	,	5.03285e-05	,	1.36613e-04	,	2.03295e-06	,	8.53653e-04
