# i, 		 t. 	     MEtot,	        dMEtot,         KEtot,		    dKEtot,         Pdvtot, 	    dTEtot, 	    Etot
956,	1.08561e-01,	1.02391e-05,	3.38011e-10,	4.11775e-07,	3.49860e-11,	2.47990e-03,	1.12120e-07,	2.49056e-03
957,	1.08572e-01,	1.02388e-05,	3.38402e-10,	4.12096e-07,	3.50565e-11,	2.48001e-03,	1.12214e-07,	2.49066e-03
958,	1.08581e-01,	1.02386e-05,	2.54022e-10,	4.12337e-07,	2.63321e-11,	2.48009e-03,	8.42132e-08,	2.49074e-03
959,	1.08592e-01,	1.02383e-05,	3.39087e-10,	4.12659e-07,	3.51801e-11,	2.48019e-03,	1.12378e-07,	2.49084e-03
960,	1.08603e-01,	1.02380e-05,	3.39479e-10,	4.12982e-07,	3.52508e-11,	2.48030e-03,	1.12472e-07,	2.49095e-03
961,	1.08611e-01,	1.02377e-05,	2.54829e-10,	4.13224e-07,	2.64780e-11,	2.48037e-03,	8.44071e-08,	2.49102e-03
962,	1.08622e-01,	1.02374e-05,	3.40164e-10,	4.13547e-07,	3.53749e-11,	2.48048e-03,	1.12637e-07,	2.49113e-03
963,	1.08630e-01,	1.02372e-05,	2.55343e-10,	4.13789e-07,	2.65712e-11,	2.48056e-03,	8.45307e-08,	2.49121e-03
964,	1.08641e-01,	1.02369e-05,	3.40850e-10,	4.14113e-07,	3.54994e-11,	2.48066e-03,	1.12802e-07,	2.49131e-03
965,	1.08652e-01,	1.02366e-05,	3.41241e-10,	4.14437e-07,	3.55707e-11,	2.48077e-03,	1.12896e-07,	2.49142e-03
966,	1.08660e-01,	1.02364e-05,	2.56152e-10,	4.14681e-07,	2.67182e-11,	2.48084e-03,	8.47250e-08,	2.49150e-03
967,	1.08671e-01,	1.02361e-05,	3.41928e-10,	4.15006e-07,	3.56958e-11,	2.48095e-03,	1.13061e-07,	2.49160e-03
968,	1.08682e-01,	1.02358e-05,	3.42320e-10,	4.15331e-07,	3.57674e-11,	2.48105e-03,	1.13155e-07,	2.49171e-03
969,	1.08690e-01,	1.02355e-05,	2.56960e-10,	4.15575e-07,	2.68659e-11,	2.48113e-03,	8.49195e-08,	2.49178e-03
970,	1.08701e-01,	1.02352e-05,	3.43006e-10,	4.15901e-07,	3.58930e-11,	2.48124e-03,	1.13320e-07,	2.49189e-03
971,	1.08712e-01,	1.02349e-05,	3.43399e-10,	4.16227e-07,	3.59650e-11,	2.48134e-03,	1.13415e-07,	2.49200e-03
972,	1.08721e-01,	1.02347e-05,	2.57770e-10,	4.16472e-07,	2.70143e-11,	2.48142e-03,	8.51143e-08,	2.49207e-03
973,	1.08732e-01,	1.02344e-05,	3.44086e-10,	4.16799e-07,	3.60912e-11,	2.48153e-03,	1.13580e-07,	2.49218e-03
974,	1.08743e-01,	1.02341e-05,	3.44479e-10,	4.17126e-07,	3.61635e-11,	2.48163e-03,	1.13675e-07,	2.49229e-03
975,	1.08751e-01,	1.02339e-05,	2.58580e-10,	4.17372e-07,	2.71633e-11,	2.48171e-03,	8.53093e-08,	2.49236e-03
976,	1.08762e-01,	1.02336e-05,	3.45166e-10,	4.17700e-07,	3.62903e-11,	2.48182e-03,	1.13840e-07,	2.49247e-03
977,	1.08770e-01,	1.02333e-05,	2.59096e-10,	4.17947e-07,	2.72585e-11,	2.48190e-03,	8.54334e-08,	2.49255e-03
978,	1.08781e-01,	1.02330e-05,	3.45854e-10,	4.18275e-07,	3.64174e-11,	2.48200e-03,	1.14006e-07,	2.49266e-03
979,	1.08792e-01,	1.02327e-05,	3.46247e-10,	4.18604e-07,	3.64902e-11,	2.48211e-03,	1.14101e-07,	2.49276e-03
980,	1.08800e-01,	1.02325e-05,	2.59907e-10,	4.18851e-07,	2.74087e-11,	2.48219e-03,	8.56288e-08,	2.49284e-03
981,	1.08811e-01,	1.02322e-05,	3.46936e-10,	4.19181e-07,	3.66179e-11,	2.48230e-03,	1.14266e-07,	2.49295e-03
982,	1.08822e-01,	1.02319e-05,	3.47329e-10,	4.19511e-07,	3.66911e-11,	2.48240e-03,	1.14361e-07,	2.49305e-03
983,	1.08831e-01,	1.02317e-05,	2.60718e-10,	4.19759e-07,	2.75595e-11,	2.48248e-03,	8.58243e-08,	2.49313e-03
984,	1.08842e-01,	1.02314e-05,	3.48018e-10,	4.20090e-07,	3.68194e-11,	2.48259e-03,	1.14527e-07,	2.49324e-03
985,	1.08853e-01,	1.02311e-05,	3.48412e-10,	4.20422e-07,	3.68929e-11,	2.48269e-03,	1.14622e-07,	2.49335e-03
986,	1.08861e-01,	1.02308e-05,	2.61530e-10,	4.20670e-07,	2.77111e-11,	2.48277e-03,	8.60201e-08,	2.49343e-03
987,	1.08872e-01,	1.02305e-05,	3.49101e-10,	4.21002e-07,	3.70218e-11,	2.48288e-03,	1.14788e-07,	2.49353e-03
988,	1.08880e-01,	1.02303e-05,	2.62047e-10,	4.21252e-07,	2.78079e-11,	2.48296e-03,	8.61448e-08,	2.49361e-03
989,	1.08891e-01,	1.02300e-05,	3.49791e-10,	4.21584e-07,	3.71511e-11,	2.48307e-03,	1.14955e-07,	2.49372e-03
990,	1.08902e-01,	1.02297e-05,	3.50185e-10,	4.21917e-07,	3.72251e-11,	2.48317e-03,	1.15050e-07,	2.49383e-03
991,	1.08910e-01,	1.02295e-05,	2.62861e-10,	4.22167e-07,	2.79605e-11,	2.48325e-03,	8.63409e-08,	2.49391e-03
992,	1.08921e-01,	1.02292e-05,	3.50875e-10,	4.22501e-07,	3.73549e-11,	2.48336e-03,	1.15216e-07,	2.49401e-03
993,	1.08932e-01,	1.02289e-05,	3.51270e-10,	4.22835e-07,	3.74293e-11,	2.48347e-03,	1.15312e-07,	2.49412e-03
994,	1.08940e-01,	1.02286e-05,	2.63674e-10,	4.23086e-07,	2.81139e-11,	2.48355e-03,	8.65372e-08,	2.49420e-03
995,	1.08951e-01,	1.02283e-05,	3.51960e-10,	4.23421e-07,	3.75598e-11,	2.48366e-03,	1.15478e-07,	2.49431e-03
996,	1.08962e-01,	1.02280e-05,	3.52355e-10,	4.23756e-07,	3.76345e-11,	2.48376e-03,	1.15574e-07,	2.49442e-03
997,	1.08971e-01,	1.02278e-05,	2.64488e-10,	4.24008e-07,	2.82679e-11,	2.48384e-03,	8.67338e-08,	2.49450e-03
998,	1.08982e-01,	1.02275e-05,	3.53046e-10,	4.24344e-07,	3.77655e-11,	2.48395e-03,	1.15740e-07,	2.49460e-03
999,	1.08993e-01,	1.02272e-05,	3.53441e-10,	4.24680e-07,	3.78406e-11,	2.48406e-03,	1.15836e-07,	2.49471e-03
1000,	1.09001e-01,	1.02270e-05,	2.65303e-10,	4.24933e-07,	2.84227e-11,	2.48414e-03,	8.69306e-08,	2.49479e-03
1001,	1.09012e-01,	1.02267e-05,	3.54133e-10,	4.25270e-07,	3.79722e-11,	2.48425e-03,	1.16003e-07,	2.49490e-03
1002,	1.09020e-01,	1.02265e-05,	2.65822e-10,	4.25523e-07,	2.85215e-11,	2.48433e-03,	8.70559e-08,	2.49498e-03
1003,	1.09031e-01,	1.02262e-05,	3.54825e-10,	4.25861e-07,	3.81042e-11,	2.48444e-03,	1.16170e-07,	2.49509e-03
1004,	1.09042e-01,	1.02259e-05,	3.55220e-10,	4.26199e-07,	3.81798e-11,	2.48455e-03,	1.16266e-07,	2.49520e-03
1005,	1.09050e-01,	1.02256e-05,	2.66638e-10,	4.26453e-07,	2.86775e-11,	2.48463e-03,	8.72530e-08,	2.49528e-03
1006,	1.09061e-01,	1.02253e-05,	3.55913e-10,	4.26792e-07,	3.83124e-11,	2.48473e-03,	1.16433e-07,	2.49539e-03
1007,	1.09072e-01,	1.02250e-05,	3.56308e-10,	4.27131e-07,	3.83884e-11,	2.48484e-03,	1.16529e-07,	2.49549e-03
1008,	1.09081e-01,	1.02248e-05,	2.67454e-10,	4.27386e-07,	2.88341e-11,	2.48492e-03,	8.74504e-08,	2.49558e-03
1009,	1.09091e-01,	1.02245e-05,	3.57001e-10,	4.27726e-07,	3.85216e-11,	2.48503e-03,	1.16696e-07,	2.49568e-03
1010,	1.09102e-01,	1.02242e-05,	3.57397e-10,	4.28066e-07,	3.85979e-11,	2.48514e-03,	1.16792e-07,	2.49579e-03
1011,	1.09111e-01,	1.02240e-05,	2.68271e-10,	4.28321e-07,	2.89914e-11,	2.48522e-03,	8.76480e-08,	2.49587e-03
1012,	1.09122e-01,	1.02237e-05,	3.58091e-10,	4.28663e-07,	3.87317e-11,	2.48533e-03,	1.16960e-07,	2.49598e-03
1013,	1.09133e-01,	1.02234e-05,	3.58487e-10,	4.29004e-07,	3.88084e-11,	2.48544e-03,	1.17056e-07,	2.49609e-03
1014,	1.09141e-01,	1.02232e-05,	2.69088e-10,	4.29260e-07,	2.91495e-11,	2.48552e-03,	8.78458e-08,	2.49617e-03
1015,	1.09152e-01,	1.02229e-05,	3.59181e-10,	4.29603e-07,	3.89428e-11,	2.48563e-03,	1.17224e-07,	2.49628e-03
1016,	1.09160e-01,	1.02226e-05,	2.69609e-10,	4.29859e-07,	2.92504e-11,	2.48571e-03,	8.79718e-08,	2.49637e-03
1017,	1.09171e-01,	1.02223e-05,	3.59875e-10,	4.30202e-07,	3.90776e-11,	2.48582e-03,	1.17392e-07,	2.49647e-03
1018,	1.09182e-01,	1.02220e-05,	3.60272e-10,	4.30546e-07,	3.91548e-11,	2.48593e-03,	1.17488e-07,	2.49658e-03
1019,	1.09190e-01,	1.02218e-05,	2.70427e-10,	4.30803e-07,	2.94096e-11,	2.48601e-03,	8.81699e-08,	2.49667e-03
1020,	1.09201e-01,	1.02215e-05,	3.60966e-10,	4.31147e-07,	3.92903e-11,	2.48612e-03,	1.17656e-07,	2.49678e-03
1021,	1.09212e-01,	1.02212e-05,	3.61364e-10,	4.31492e-07,	3.93678e-11,	2.48623e-03,	1.17752e-07,	2.49688e-03
1022,	1.09221e-01,	1.02210e-05,	2.71246e-10,	4.31750e-07,	2.95696e-11,	2.48631e-03,	8.83683e-08,	2.49697e-03
1023,	1.09232e-01,	1.02207e-05,	3.62059e-10,	4.32096e-07,	3.95039e-11,	2.48642e-03,	1.17921e-07,	2.49708e-03
1024,	1.09243e-01,	1.02204e-05,	3.62456e-10,	4.32441e-07,	3.95818e-11,	2.48653e-03,	1.18017e-07,	2.49719e-03
1025,	1.09251e-01,	1.02202e-05,	2.72066e-10,	4.32701e-07,	2.97302e-11,	2.48662e-03,	8.85669e-08,	2.49727e-03
1026,	1.09262e-01,	1.02199e-05,	3.63152e-10,	4.33047e-07,	3.97184e-11,	2.48673e-03,	1.18186e-07,	2.49738e-03
1027,	1.09270e-01,	1.02197e-05,	2.72587e-10,	4.33307e-07,	2.98328e-11,	2.48681e-03,	8.86934e-08,	2.49746e-03
1028,	1.09281e-01,	1.02194e-05,	3.63848e-10,	4.33654e-07,	3.98555e-11,	2.48692e-03,	1.18354e-07,	2.49757e-03
1029,	1.09292e-01,	1.02191e-05,	3.64245e-10,	4.34001e-07,	3.99340e-11,	2.48703e-03,	1.18451e-07,	2.49768e-03
1030,	1.09300e-01,	1.02188e-05,	2.73408e-10,	4.34262e-07,	2.99947e-11,	2.48711e-03,	8.88923e-08,	2.49776e-03
1031,	1.09311e-01,	1.02185e-05,	3.64942e-10,	4.34610e-07,	4.00717e-11,	2.48722e-03,	1.18620e-07,	2.49788e-03
1032,	1.09322e-01,	1.02182e-05,	3.65340e-10,	4.34959e-07,	4.01505e-11,	2.48733e-03,	1.18716e-07,	2.49799e-03
1033,	1.09330e-01,	1.02180e-05,	2.74229e-10,	4.35220e-07,	3.01573e-11,	2.48742e-03,	8.90915e-08,	2.49807e-03
1034,	1.09341e-01,	1.02177e-05,	3.66037e-10,	4.35570e-07,	4.02888e-11,	2.48753e-03,	1.18885e-07,	2.49818e-03
1035,	1.09352e-01,	1.02174e-05,	3.66435e-10,	4.35919e-07,	4.03680e-11,	2.48764e-03,	1.18982e-07,	2.49829e-03
1036,	1.09361e-01,	1.02172e-05,	2.75051e-10,	4.36182e-07,	3.03206e-11,	2.48772e-03,	8.92909e-08,	2.49837e-03
1037,	1.09372e-01,	1.02169e-05,	3.67133e-10,	4.36532e-07,	4.05069e-11,	2.48783e-03,	1.19151e-07,	2.49848e-03
1038,	1.09383e-01,	1.02166e-05,	3.67531e-10,	4.36883e-07,	4.05865e-11,	2.48794e-03,	1.19248e-07,	2.49860e-03
1039,	1.09391e-01,	1.02164e-05,	2.75873e-10,	4.37146e-07,	3.04847e-11,	2.48803e-03,	8.94906e-08,	2.49868e-03
1040,	1.09402e-01,	1.02161e-05,	3.68229e-10,	4.37498e-07,	4.07260e-11,	2.48814e-03,	1.19418e-07,	2.49879e-03
1041,	1.09410e-01,	1.02159e-05,	2.76396e-10,	4.37762e-07,	3.05895e-11,	2.48822e-03,	8.96177e-08,	2.49887e-03
1042,	1.09421e-01,	1.02156e-05,	3.68928e-10,	4.38114e-07,	4.08660e-11,	2.48833e-03,	1.19587e-07,	2.49898e-03
1043,	1.09432e-01,	1.02153e-05,	3.69327e-10,	4.38467e-07,	4.09461e-11,	2.48844e-03,	1.19684e-07,	2.49910e-03
1044,	1.09440e-01,	1.02151e-05,	2.77220e-10,	4.38731e-07,	3.07547e-11,	2.48853e-03,	8.98177e-08,	2.49918e-03
1045,	1.09451e-01,	1.02148e-05,	3.70025e-10,	4.39085e-07,	4.10867e-11,	2.48864e-03,	1.19854e-07,	2.49929e-03
1046,	1.09462e-01,	1.02145e-05,	3.70425e-10,	4.39439e-07,	4.11672e-11,	2.48875e-03,	1.19951e-07,	2.49940e-03
1047,	1.09471e-01,	1.02142e-05,	2.78043e-10,	4.39704e-07,	3.09208e-11,	2.48883e-03,	9.00179e-08,	2.49949e-03
1048,	1.09482e-01,	1.02139e-05,	3.71124e-10,	4.40059e-07,	4.13084e-11,	2.48894e-03,	1.20121e-07,	2.49960e-03
1049,	1.09492e-01,	1.02137e-05,	3.71524e-10,	4.40414e-07,	4.13893e-11,	2.48906e-03,	1.20218e-07,	2.49971e-03
1050,	1.09501e-01,	1.02134e-05,	2.78868e-10,	4.40680e-07,	3.10875e-11,	2.48914e-03,	9.02183e-08,	2.49980e-03
1051,	1.09512e-01,	1.02131e-05,	3.72223e-10,	4.41036e-07,	4.15312e-11,	2.48925e-03,	1.20388e-07,	2.49991e-03
1052,	1.09523e-01,	1.02128e-05,	3.72623e-10,	4.41392e-07,	4.16124e-11,	2.48937e-03,	1.20486e-07,	2.50002e-03
1053,	1.09531e-01,	1.02126e-05,	2.79693e-10,	4.41659e-07,	3.12551e-11,	2.48945e-03,	9.04190e-08,	2.50010e-03
1054,	1.09542e-01,	1.02123e-05,	3.73324e-10,	4.42016e-07,	4.17549e-11,	2.48956e-03,	1.20656e-07,	2.50022e-03
1055,	1.09550e-01,	1.02121e-05,	2.80218e-10,	4.42284e-07,	3.13621e-11,	2.48965e-03,	9.05468e-08,	2.50030e-03
1056,	1.09561e-01,	1.02118e-05,	3.74024e-10,	4.42642e-07,	4.18978e-11,	2.48976e-03,	1.20826e-07,	2.50041e-03
1057,	1.09572e-01,	1.02115e-05,	3.74424e-10,	4.43000e-07,	4.19796e-11,	2.48987e-03,	1.20924e-07,	2.50053e-03
1058,	1.09580e-01,	1.02113e-05,	2.81044e-10,	4.43268e-07,	3.15308e-11,	2.48996e-03,	9.07478e-08,	2.50061e-03
1059,	1.09591e-01,	1.02110e-05,	3.75125e-10,	4.43627e-07,	4.21232e-11,	2.49007e-03,	1.21095e-07,	2.50072e-03
1060,	1.09602e-01,	1.02107e-05,	3.75526e-10,	4.43986e-07,	4.22054e-11,	2.49018e-03,	1.21192e-07,	2.50084e-03
1061,	1.09611e-01,	1.02105e-05,	2.81870e-10,	4.44256e-07,	3.17003e-11,	2.49027e-03,	9.09491e-08,	2.50092e-03
1062,	1.09622e-01,	1.02102e-05,	3.76228e-10,	4.44616e-07,	4.23496e-11,	2.49038e-03,	1.21363e-07,	2.50103e-03
1063,	1.09633e-01,	1.02099e-05,	3.76629e-10,	4.44976e-07,	4.24322e-11,	2.49049e-03,	1.21461e-07,	2.50115e-03
1064,	1.09641e-01,	1.02097e-05,	2.82697e-10,	4.45247e-07,	3.18706e-11,	2.49058e-03,	9.11505e-08,	2.50123e-03
1065,	1.09652e-01,	1.02094e-05,	3.77331e-10,	4.45608e-07,	4.25770e-11,	2.49069e-03,	1.21632e-07,	2.50135e-03
1066,	1.09660e-01,	1.02092e-05,	2.83224e-10,	4.45879e-07,	3.19794e-11,	2.49078e-03,	9.12789e-08,	2.50143e-03
1067,	1.09671e-01,	1.02089e-05,	3.78033e-10,	4.46240e-07,	4.27222e-11,	2.49089e-03,	1.21803e-07,	2.50154e-03
1068,	1.09682e-01,	1.02086e-05,	3.78434e-10,	4.46603e-07,	4.28054e-11,	2.49100e-03,	1.21901e-07,	2.50166e-03
1069,	1.09690e-01,	1.02084e-05,	2.84052e-10,	4.46875e-07,	3.21509e-11,	2.49109e-03,	9.14807e-08,	2.50174e-03
1070,	1.09701e-01,	1.02081e-05,	3.79137e-10,	4.47238e-07,	4.29513e-11,	2.49120e-03,	1.22072e-07,	2.50186e-03
1071,	1.09712e-01,	1.02078e-05,	3.79539e-10,	4.47601e-07,	4.30349e-11,	2.49132e-03,	1.22170e-07,	2.50197e-03
1072,	1.09720e-01,	1.02076e-05,	2.84880e-10,	4.47874e-07,	3.23232e-11,	2.49140e-03,	9.16827e-08,	2.50206e-03
1073,	1.09731e-01,	1.02073e-05,	3.80242e-10,	4.48238e-07,	4.31815e-11,	2.49152e-03,	1.22342e-07,	2.50217e-03
1074,	1.09742e-01,	1.02070e-05,	3.80644e-10,	4.48602e-07,	4.32654e-11,	2.49163e-03,	1.22440e-07,	2.50229e-03
1075,	1.09751e-01,	1.02067e-05,	2.85709e-10,	4.48876e-07,	3.24963e-11,	2.49172e-03,	9.18850e-08,	2.50237e-03
1076,	1.09762e-01,	1.02065e-05,	3.81348e-10,	4.49241e-07,	4.34126e-11,	2.49183e-03,	1.22612e-07,	2.50249e-03
1077,	1.09773e-01,	1.02062e-05,	3.81750e-10,	4.49607e-07,	4.34969e-11,	2.49194e-03,	1.22710e-07,	2.50260e-03
1078,	1.09781e-01,	1.02059e-05,	2.86539e-10,	4.49882e-07,	3.26702e-11,	2.49203e-03,	9.20875e-08,	2.50269e-03
1079,	1.09792e-01,	1.02057e-05,	3.82454e-10,	4.50248e-07,	4.36448e-11,	2.49214e-03,	1.22882e-07,	2.50280e-03
1080,	1.09800e-01,	1.02054e-05,	2.87067e-10,	4.50523e-07,	3.27812e-11,	2.49223e-03,	9.22165e-08,	2.50289e-03
1081,	1.09811e-01,	1.02051e-05,	3.83159e-10,	4.50891e-07,	4.37931e-11,	2.49235e-03,	1.23054e-07,	2.50300e-03
1082,	1.09822e-01,	1.02048e-05,	3.83562e-10,	4.51258e-07,	4.38780e-11,	2.49246e-03,	1.23152e-07,	2.50312e-03
1083,	1.09830e-01,	1.02046e-05,	2.87898e-10,	4.51534e-07,	3.29564e-11,	2.49255e-03,	9.24194e-08,	2.50320e-03
1084,	1.09841e-01,	1.02043e-05,	3.84267e-10,	4.51903e-07,	4.40270e-11,	2.49266e-03,	1.23324e-07,	2.50332e-03
1085,	1.09852e-01,	1.02040e-05,	3.84670e-10,	4.52271e-07,	4.41123e-11,	2.49278e-03,	1.23423e-07,	2.50343e-03
1086,	1.09861e-01,	1.02038e-05,	2.88729e-10,	4.52548e-07,	3.31323e-11,	2.49286e-03,	9.26225e-08,	2.50352e-03
1087,	1.09872e-01,	1.02035e-05,	3.85375e-10,	4.52918e-07,	4.42620e-11,	2.49298e-03,	1.23595e-07,	2.50363e-03
1088,	1.09883e-01,	1.02032e-05,	3.85779e-10,	4.53288e-07,	4.43477e-11,	2.49309e-03,	1.23694e-07,	2.50375e-03
1089,	1.09891e-01,	1.02030e-05,	2.89561e-10,	4.53566e-07,	3.33090e-11,	2.49318e-03,	9.28258e-08,	2.50384e-03
1090,	1.09902e-01,	1.02027e-05,	3.86485e-10,	4.53937e-07,	4.44980e-11,	2.49330e-03,	1.23866e-07,	2.50395e-03
1091,	1.09913e-01,	1.02024e-05,	3.86888e-10,	4.54308e-07,	4.45840e-11,	2.49341e-03,	1.23965e-07,	2.50407e-03
1092,	1.09921e-01,	1.02022e-05,	2.90393e-10,	4.54587e-07,	3.34865e-11,	2.49350e-03,	9.30294e-08,	2.50415e-03
1093,	1.09932e-01,	1.02019e-05,	3.87595e-10,	4.54959e-07,	4.47350e-11,	2.49361e-03,	1.24138e-07,	2.50427e-03
1094,	1.09940e-01,	1.02017e-05,	2.90923e-10,	4.55238e-07,	3.35999e-11,	2.49370e-03,	9.31590e-08,	2.50436e-03
1095,	1.09951e-01,	1.02014e-05,	3.88302e-10,	4.55611e-07,	4.48864e-11,	2.49382e-03,	1.24311e-07,	2.50447e-03
1096,	1.09962e-01,	1.02011e-05,	3.88706e-10,	4.55984e-07,	4.49731e-11,	2.49393e-03,	1.24410e-07,	2.50459e-03
1097,	1.09970e-01,	1.02009e-05,	2.91757e-10,	4.56264e-07,	3.37787e-11,	2.49402e-03,	9.33629e-08,	2.50468e-03
1098,	1.09981e-01,	1.02006e-05,	3.89413e-10,	4.56638e-07,	4.51252e-11,	2.49414e-03,	1.24583e-07,	2.50479e-03
1099,	1.09992e-01,	1.02003e-05,	3.89817e-10,	4.57012e-07,	4.52123e-11,	2.49425e-03,	1.24682e-07,	2.50491e-03
1100,	1.10001e-01,	1.02001e-05,	2.92591e-10,	4.57293e-07,	3.39583e-11,	2.49434e-03,	9.35671e-08,	2.50500e-03
1101,	1.10012e-01,	1.01998e-05,	3.90525e-10,	4.57668e-07,	4.53651e-11,	2.49446e-03,	1.24855e-07,	2.50511e-03
1102,	1.10023e-01,	1.01995e-05,	3.90930e-10,	4.58044e-07,	4.54526e-11,	2.49457e-03,	1.24954e-07,	2.50523e-03
1103,	1.10031e-01,	1.01993e-05,	2.93425e-10,	4.58326e-07,	3.41387e-11,	2.49466e-03,	9.37714e-08,	2.50532e-03
1104,	1.10042e-01,	1.01990e-05,	3.91638e-10,	4.58702e-07,	4.56060e-11,	2.49478e-03,	1.25128e-07,	2.50543e-03
1105,	1.10050e-01,	1.01988e-05,	2.93956e-10,	4.58985e-07,	3.42539e-11,	2.49486e-03,	9.39016e-08,	2.50552e-03
1106,	1.10061e-01,	1.01985e-05,	3.92347e-10,	4.59362e-07,	4.57599e-11,	2.49498e-03,	1.25301e-07,	2.50564e-03
1107,	1.10072e-01,	1.01982e-05,	3.92752e-10,	4.59739e-07,	4.58480e-11,	2.49510e-03,	1.25401e-07,	2.50576e-03
1108,	1.10080e-01,	1.01980e-05,	2.94792e-10,	4.60023e-07,	3.44357e-11,	2.49519e-03,	9.41063e-08,	2.50584e-03
1109,	1.10091e-01,	1.01977e-05,	3.93461e-10,	4.60401e-07,	4.60026e-11,	2.49530e-03,	1.25574e-07,	2.50596e-03
1110,	1.10102e-01,	1.01975e-05,	3.93867e-10,	4.60780e-07,	4.60911e-11,	2.49542e-03,	1.25674e-07,	2.50608e-03
1111,	1.10110e-01,	1.01972e-05,	2.95628e-10,	4.61064e-07,	3.46182e-11,	2.49551e-03,	9.43113e-08,	2.50617e-03
1112,	1.10121e-01,	1.01969e-05,	3.94576e-10,	4.61444e-07,	4.62464e-11,	2.49563e-03,	1.25848e-07,	2.50628e-03
1113,	1.10132e-01,	1.01967e-05,	3.94982e-10,	4.61824e-07,	4.63353e-11,	2.49574e-03,	1.25947e-07,	2.50640e-03
1114,	1.10141e-01,	1.01964e-05,	2.96465e-10,	4.62109e-07,	3.48016e-11,	2.49583e-03,	9.45165e-08,	2.50649e-03
1115,	1.10152e-01,	1.01962e-05,	3.95692e-10,	4.62490e-07,	4.64913e-11,	2.49595e-03,	1.26122e-07,	2.50661e-03
1116,	1.10163e-01,	1.01959e-05,	3.96098e-10,	4.62871e-07,	4.65806e-11,	2.49607e-03,	1.26221e-07,	2.50673e-03
1117,	1.10171e-01,	1.01957e-05,	2.97302e-10,	4.63157e-07,	3.49858e-11,	2.49616e-03,	9.47219e-08,	2.50681e-03
1118,	1.10182e-01,	1.01954e-05,	3.96809e-10,	4.63539e-07,	4.67372e-11,	2.49627e-03,	1.26396e-07,	2.50693e-03
1119,	1.10190e-01,	1.01951e-05,	2.97835e-10,	4.63826e-07,	3.51034e-11,	2.49636e-03,	9.48528e-08,	2.50702e-03
1120,	1.10201e-01,	1.01949e-05,	3.97519e-10,	4.64209e-07,	4.68943e-11,	2.49648e-03,	1.26570e-07,	2.50714e-03
1121,	1.10212e-01,	1.01946e-05,	3.97926e-10,	4.64592e-07,	4.69843e-11,	2.49660e-03,	1.26670e-07,	2.50726e-03
1122,	1.10220e-01,	1.01944e-05,	2.98673e-10,	4.64879e-07,	3.52889e-11,	2.49669e-03,	9.50585e-08,	2.50735e-03
1123,	1.10231e-01,	1.01941e-05,	3.98637e-10,	4.65263e-07,	4.71421e-11,	2.49681e-03,	1.26845e-07,	2.50747e-03
1124,	1.10242e-01,	1.01938e-05,	3.99044e-10,	4.65648e-07,	4.72325e-11,	2.49692e-03,	1.26944e-07,	2.50758e-03
1125,	1.10251e-01,	1.01936e-05,	2.99512e-10,	4.65936e-07,	3.54753e-11,	2.49701e-03,	9.52646e-08,	2.50767e-03
1126,	1.10262e-01,	1.01933e-05,	3.99756e-10,	4.66321e-07,	4.73910e-11,	2.49713e-03,	1.27119e-07,	2.50779e-03
1127,	1.10273e-01,	1.01930e-05,	4.00163e-10,	4.66707e-07,	4.74817e-11,	2.49725e-03,	1.27219e-07,	2.50791e-03
1128,	1.10281e-01,	1.01928e-05,	3.00351e-10,	4.66997e-07,	3.56624e-11,	2.49734e-03,	9.54708e-08,	2.50800e-03
1129,	1.10292e-01,	1.01925e-05,	4.00875e-10,	4.67383e-07,	4.76409e-11,	2.49746e-03,	1.27394e-07,	2.50812e-03
1130,	1.10303e-01,	1.01922e-05,	4.01283e-10,	4.67770e-07,	4.77321e-11,	2.49758e-03,	1.27495e-07,	2.50824e-03
1131,	1.10311e-01,	1.01920e-05,	3.01191e-10,	4.68060e-07,	3.58504e-11,	2.49767e-03,	9.56773e-08,	2.50833e-03
1132,	1.10322e-01,	1.01917e-05,	4.01995e-10,	4.68448e-07,	4.78920e-11,	2.49779e-03,	1.27670e-07,	2.50845e-03
1133,	1.10330e-01,	1.01915e-05,	3.01726e-10,	4.68739e-07,	3.59705e-11,	2.49788e-03,	9.58088e-08,	2.50854e-03
1134,	1.10341e-01,	1.01912e-05,	4.02709e-10,	4.69127e-07,	4.80524e-11,	2.49800e-03,	1.27845e-07,	2.50866e-03
1135,	1.10352e-01,	1.01909e-05,	4.03116e-10,	4.69516e-07,	4.81442e-11,	2.49812e-03,	1.27946e-07,	2.50878e-03
1136,	1.10360e-01,	1.01907e-05,	3.02567e-10,	4.69808e-07,	3.61599e-11,	2.49821e-03,	9.60156e-08,	2.50887e-03
1137,	1.10371e-01,	1.01904e-05,	4.03830e-10,	4.70198e-07,	4.83053e-11,	2.49833e-03,	1.28121e-07,	2.50899e-03
1138,	1.10382e-01,	1.01901e-05,	4.04238e-10,	4.70588e-07,	4.83975e-11,	2.49845e-03,	1.28222e-07,	2.50911e-03
1139,	1.10391e-01,	1.01899e-05,	3.03408e-10,	4.70881e-07,	3.63501e-11,	2.49853e-03,	9.62227e-08,	2.50920e-03
1140,	1.10402e-01,	1.01896e-05,	4.04952e-10,	4.71272e-07,	4.85593e-11,	2.49865e-03,	1.28397e-07,	2.50932e-03
1141,	1.10413e-01,	1.01894e-05,	4.05361e-10,	4.71663e-07,	4.86520e-11,	2.49878e-03,	1.28498e-07,	2.50944e-03
